country,city,region,latitude,longitude,budget_level,main_interests,notes
Portugal,Lisbon,Southern Europe,38.7223,-9.1393,moderate,"city,food,history,culture","Capital city with historic neighborhoods and vibrant food scene"
Portugal,Porto,Southern Europe,41.1579,-8.6291,moderate,"city,food,wine,history","Famous for port wine and riverside charm"
Portugal,Coimbra,Southern Europe,40.2033,-8.4103,budget,"history,culture,city","Historic university city"
Portugal,Sintra,Southern Europe,38.7979,-9.3882,moderate,"nature,history,palaces","UNESCO World Heritage palaces and gardens"
Portugal,Lagos,Southern Europe,37.1028,-8.6742,moderate,"beach,nature,food","Algarve coastal town with stunning beaches"
Greece,Athens,Southern Europe,37.9838,23.7275,moderate,"history,city,food,culture","Ancient capital with Acropolis and vibrant neighborhoods"
Greece,Naxos,Southern Europe,37.1036,25.3766,moderate,"beach,nature,food,culture","Largest Cycladic island with beaches and villages"
Greece,Crete,Southern Europe,35.2401,24.8093,moderate,"beach,history,food,nature","Largest Greek island with diverse landscapes"
Greece,Thessaloniki,Southern Europe,40.6401,22.9444,moderate,"city,food,history,culture","Second city with Byzantine heritage"
Greece,Meteora,Southern Europe,39.7217,21.6306,moderate,"nature,history,culture","Monasteries on rock pillars"
Italy,Rome,Southern Europe,41.9028,12.4964,moderate,"history,city,food,culture","Eternal city with ancient ruins and art"
Italy,Florence,Southern Europe,43.7696,11.2558,moderate,"history,city,art,food","Renaissance capital with museums and architecture"
Italy,Bologna,Southern Europe,44.4949,11.3426,moderate,"food,city,history,culture","Food capital with medieval towers"
Italy,Naples,Southern Europe,40.8518,14.2681,moderate,"food,city,history,culture","Gateway to Amalfi Coast and Pompeii"
Italy,Venice,Southern Europe,45.4408,12.3155,comfortable,"city,history,culture,romance","Unique canal city"
Croatia,Zagreb,Southern Europe,45.8150,15.9819,moderate,"city,food,culture,history","Capital with Austro-Hungarian architecture"
Croatia,Split,Southern Europe,43.5081,16.4402,moderate,"city,beach,history,food","Coastal city with Diocletian's Palace"
Croatia,Dubrovnik,Southern Europe,42.6507,18.0944,comfortable,"city,history,beach,culture","Walled medieval city on Adriatic"
Croatia,Hvar,Southern Europe,43.1729,16.4411,comfortable,"beach,nature,food,nightlife","Sunny island with lavender fields"
Croatia,Plitvice,Southern Europe,44.8654,15.5820,moderate,"nature,hiking,photography","UNESCO lakes and waterfalls"
Slovenia,Ljubljana,Southern Europe,46.0569,14.5058,moderate,"city,food,nature,culture","Green capital with castle and river"
Slovenia,Bled,Southern Europe,46.3683,14.1146,moderate,"nature,hiking,photography,romance","Alpine lake with island church"
Slovenia,Piran,Southern Europe,45.5285,13.5681,moderate,"beach,city,food,history","Venetian coastal town"
Slovenia,Postojna,Southern Europe,45.7744,14.2155,moderate,"nature,caves,adventure","Famous cave system"
Romania,Bucharest,Eastern Europe,44.4268,26.1025,budget,"city,history,culture,food","Capital with Belle Époque architecture"
Romania,Brasov,Eastern Europe,45.6427,25.5887,budget,"history,nature,hiking,culture","Transylvanian city near Dracula's castle"
Romania,Sibiu,Eastern Europe,45.7983,24.1256,budget,"history,culture,city,food","Medieval Saxon city"
Romania,Cluj-Napoca,Eastern Europe,46.7712,23.6236,budget,"city,culture,food,nightlife","University city with vibrant scene"
Romania,Sighisoara,Eastern Europe,46.2206,24.7914,budget,"history,culture,medieval","Birthplace of Vlad the Impaler"
Georgia,Tbilisi,Caucasus,41.7151,44.8271,budget,"city,food,wine,culture","Capital with old town and sulfur baths"
Georgia,Batumi,Caucasus,41.6168,41.6367,budget,"beach,city,food,nightlife","Black Sea resort city"
Georgia,Mtskheta,Caucasus,41.8425,44.7200,budget,"history,culture,religion","Ancient capital with UNESCO churches"
Georgia,Kazbegi,Caucasus,42.6586,44.6453,budget,"nature,hiking,mountains,adventure","Mountain region with Gergeti Trinity Church"
Austria,Vienna,Central Europe,48.2082,16.3738,comfortable,"city,history,culture,music","Imperial capital with palaces and cafes"
Austria,Salzburg,Central Europe,47.8095,13.0550,comfortable,"city,history,music,nature","Mozart's birthplace near Alps"
Austria,Innsbruck,Central Europe,47.2692,11.4041,comfortable,"nature,skiing,mountains,city","Alpine city with winter sports"
Austria,Hallstatt,Central Europe,47.5622,13.6493,comfortable,"nature,photography,village,history","Picturesque lakeside village"
Hungary,Budapest,Central Europe,47.4979,19.0402,budget,"city,history,culture,food","Capital split by Danube with thermal baths"
Hungary,Eger,Central Europe,47.9024,20.3770,budget,"history,wine,culture,food","Baroque city famous for Bull's Blood wine"
Hungary,Pécs,Central Europe,46.0727,18.2320,budget,"history,culture,city,art","Southern city with Turkish heritage"
Hungary,Lake Balaton,Central Europe,46.9073,17.8933,budget,"nature,beach,relaxation,food","Largest lake in Central Europe"
Czech Republic,Prague,Central Europe,50.0755,14.4378,moderate,"city,history,culture,beer","Gothic capital with castle and bridges"
Czech Republic,Cesky Krumlov,Central Europe,48.8127,14.3175,moderate,"history,culture,medieval,photography","UNESCO medieval town"
Czech Republic,Brno,Central Europe,49.1951,16.6068,budget,"city,culture,food,history","Second city with modern vibe"
Czech Republic,Karlovy Vary,Central Europe,50.2329,12.8716,moderate,"spa,relaxation,history,nature","Famous spa town"
Cyprus,Nicosia,Southern Europe,35.1856,33.3823,moderate,"city,history,culture,food","Divided capital with Venetian walls"
Cyprus,Paphos,Southern Europe,34.7571,32.4254,moderate,"beach,history,archaeology,nature","Coastal city with ancient ruins"
Cyprus,Limassol,Southern Europe,34.6841,33.0374,moderate,"beach,city,food,nightlife","Coastal resort city"
Cyprus,Larnaca,Southern Europe,34.9227,33.6233,moderate,"beach,city,history,relaxation","Coastal city with palm promenade"
Albania,Tirana,Southern Europe,41.3275,19.8187,budget,"city,history,culture,food","Colorful capital with Ottoman heritage"
Albania,Berat,Southern Europe,40.7058,19.9522,budget,"history,culture,photography,old_town","UNESCO city of a thousand windows"
Albania,Saranda,Southern Europe,39.8753,20.0089,budget,"beach,nature,food,relaxation","Coastal town near Greek border"
Albania,Gjirokaster,Southern Europe,40.0758,20.1389,budget,"history,culture,old_town,photography","UNESCO stone city with castle"
